127.0.0.1 - - [06/Feb/2018:00:33:00 +0530] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [06/Feb/2018:00:33:01 +0530] "GET /angularjsdemo/addemployee.html HTTP/1.1" 200 755
0:0:0:0:0:0:0:1 - - [06/Feb/2018:00:33:01 +0530] "GET /angularjsdemo/app.js HTTP/1.1" 200 49
0:0:0:0:0:0:0:1 - - [06/Feb/2018:00:33:01 +0530] "GET /angularjsdemo/empcontroller.js HTTP/1.1" 200 197
0:0:0:0:0:0:0:1 - - [06/Feb/2018:00:33:01 +0530] "GET /angularjsdemo/empservice.js HTTP/1.1" 404 1105
0:0:0:0:0:0:0:1 - - [06/Feb/2018:00:33:07 +0530] "GET /angularjsdemo/addemployee.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Feb/2018:00:33:07 +0530] "GET /angularjsdemo/empservice.js HTTP/1.1" 404 1105
0:0:0:0:0:0:0:1 - - [06/Feb/2018:00:33:09 +0530] "GET /angularjsdemo/addemployee.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Feb/2018:00:33:09 +0530] "GET /angularjsdemo/empservice.js HTTP/1.1" 404 1105
0:0:0:0:0:0:0:1 - - [06/Feb/2018:00:33:10 +0530] "GET /angularjsdemo/addemployee.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Feb/2018:00:33:10 +0530] "GET /angularjsdemo/empservice.js HTTP/1.1" 404 1105
0:0:0:0:0:0:0:1 - - [06/Feb/2018:00:33:11 +0530] "GET /angularjsdemo/addemployee.html HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [06/Feb/2018:00:33:11 +0530] "GET /angularjsdemo/empservice.js HTTP/1.1" 404 1105
0:0:0:0:0:0:0:1 - - [06/Feb/2018:00:33:35 +0530] "GET /angularjsdemo/addemployee.html HTTP/1.1" 200 755
0:0:0:0:0:0:0:1 - - [06/Feb/2018:00:33:40 +0530] "GET /angularjsdemo/empcontroller.js HTTP/1.1" 200 197
0:0:0:0:0:0:0:1 - - [06/Feb/2018:00:33:40 +0530] "GET /angularjsdemo/app.js HTTP/1.1" 200 49
0:0:0:0:0:0:0:1 - - [06/Feb/2018:00:33:40 +0530] "GET /angularjsdemo/empservice.js HTTP/1.1" 404 1105
0:0:0:0:0:0:0:1 - - [06/Feb/2018:00:33:43 +0530] "GET /angularjsdemo/empservice.js HTTP/1.1" 404 1105
0:0:0:0:0:0:0:1 - - [06/Feb/2018:00:34:04 +0530] "GET /favicon.ico HTTP/1.1" 404 1085
0:0:0:0:0:0:0:1 - - [06/Feb/2018:00:34:06 +0530] "GET /angularjsdemo/addemployee.html? HTTP/1.1" 200 755
0:0:0:0:0:0:0:1 - - [06/Feb/2018:00:34:11 +0530] "GET /angularjsdemo/empservice.js HTTP/1.1" 404 1105
0:0:0:0:0:0:0:1 - - [06/Feb/2018:00:34:11 +0530] "GET /angularjsdemo/empservice.js HTTP/1.1" 404 1105
0:0:0:0:0:0:0:1 - - [06/Feb/2018:00:34:16 +0530] "GET /angularjsdemo/empservice.js HTTP/1.1" 404 1105
0:0:0:0:0:0:0:1 - - [06/Feb/2018:00:34:17 +0530] "GET /angularjsdemo/empservice.js HTTP/1.1" 404 1105
0:0:0:0:0:0:0:1 - - [06/Feb/2018:00:34:18 +0530] "GET /angularjsdemo/empservice.js HTTP/1.1" 404 1105
0:0:0:0:0:0:0:1 - - [06/Feb/2018:00:34:18 +0530] "GET /angularjsdemo/empservice.js HTTP/1.1" 404 1105
0:0:0:0:0:0:0:1 - - [06/Feb/2018:00:34:18 +0530] "GET /angularjsdemo/empservice.js HTTP/1.1" 404 1105
0:0:0:0:0:0:0:1 - - [06/Feb/2018:00:34:18 +0530] "GET /angularjsdemo/empservice.js HTTP/1.1" 404 1105
0:0:0:0:0:0:0:1 - - [06/Feb/2018:00:34:18 +0530] "GET /angularjsdemo/empservice.js HTTP/1.1" 404 1105
0:0:0:0:0:0:0:1 - - [06/Feb/2018:00:34:18 +0530] "GET /angularjsdemo/empservice.js HTTP/1.1" 404 1105
0:0:0:0:0:0:0:1 - - [06/Feb/2018:00:34:19 +0530] "GET /angularjsdemo/empservice.js HTTP/1.1" 404 1105
0:0:0:0:0:0:0:1 - - [06/Feb/2018:00:34:19 +0530] "GET /angularjsdemo/empservice.js HTTP/1.1" 404 1105
